,Ids,pb_host_VDWAALS,pb_guest_VDWAALS,pb_complex_VDWAALS,gb_host_1-4EEL,gb_guest_1-4EEL,gb_Complex_1-4EEL,gb_host_EELEC,gb_guest_EELEC,gb_Complex_EELEC,gb_host_EGB,gb_guest_EGB,gb_Complex_EGB,gb_host_ESURF,gb_guest_ESURF,gb_Complex_ESURF,Ex _G_(kcal/mol)
10,cd-set1--acd-guest-11,-31.9334,-0.3717,-46.2407,422.5394,14.5517,437.0912,-418.625,12.1513,-395.5337,-97.5622,-66.8883,-166.6113,5.1074,1.598,5.0003,2.72
11,cd-set1--acd-guest-12,-28.6474,-0.7891,-47.4893,412.4066,28.3717,440.7783,-400.939,16.8307,-375.2795,-105.059,-60.8091,-168.349,4.9828,1.9168,5.1137,3.516
12,cd-set1--acd-guest-13,-30.685,-0.2628,-50.0229,409.3735,-49.3723,360.0012,-391.0571,52.0518,-344.3053,-110.5583,-63.6022,-159.7713,5.0833,1.8537,4.9535,3.604
13,cd-set1--acd-guest-14,-29.2511,-0.688,-49.0065,419.815,16.8888,436.7039,-401.3316,11.3413,-378.1315,-115.9134,-66.0705,-187.9497,5.1109,1.9472,5.166,4.137
14,cd-set1--acd-guest-15,-28.3094,-0.4231,-47.8325,416.7052,-45.4646,371.2406,-420.305,50.6137,-362.6281,-104.7151,-64.1026,-167.9881,5.0945,2.0366,5.0255,4.166
15,cd-set1--acd-guest-16,-28.5523,0.1861,-39.9059,419.5804,-21.8916,397.6888,-406.7168,7.9702,-399.734,-110.7382,-9.1252,-114.1129,5.072,1.2144,4.9053,2.022
16,cd-set1--acd-guest-17,-25.8244,-0.6542,-42.5323,423.2458,-10.7256,412.5202,-437.2679,4.2066,-432.5304,-91.6246,-8.9047,-94.7974,5.0761,1.6629,5.046,3.227
17,cd-set1--acd-guest-18,-31.5748,-0.3414,-48.1415,425.6545,2.4931,428.1475,-395.4914,3.0144,-428.3186,-116.4153,-81.6214,-152.7128,5.0351,1.4882,4.8229,2.596
18,cd-set1--acd-guest-19,-27.3337,-0.451,-43.6261,416.6306,41.8648,458.4954,-397.2789,-29.6209,-448.3987,-110.573,-82.0064,-160.3104,5.1493,1.6155,4.9772,3.344
19,cd-set1--acd-guest-20,-29.7112,-0.771,-47.4249,422.7233,10.8392,433.5625,-414.4115,19.8072,-422.7012,-101.9195,-81.909,-145.0472,5.0886,1.6255,4.8819,3.011
20,cd-set1--acd-guest-21,-29.3854,-0.8065,-49.1928,420.743,5.7365,426.4795,-392.3947,8.6868,-412.0417,-116.0256,-81.7253,-163.2243,5.001,1.8157,4.9097,3.991
21,cd-set1--acd-guest-22,-32.4843,-0.7476,-51.7214,419.982,13.4171,433.3991,-407.9364,7.1683,-409.1274,-104.5395,-83.1147,-174.3148,5.0412,1.7809,4.9632,3.597
22,cd-set2--bcd-guest-1,-32.461,-0.3816,-45.9909,494.5672,16.099,510.6662,-475.9529,11.4951,-455.9372,-127.8139,-67.1165,-194.268,5.9502,1.7244,5.7296,2.486
23,cd-set2--bcd-guest-2,-30.1805,-0.537,-44.4014,496.9477,16.1817,513.1294,-512.9161,11.4949,-492.3344,-107.4064,-65.889,-177.477,5.9038,2.083,5.9783,3.585
24,cd-set2--bcd-guest-3,-35.7162,-0.2102,-48.9603,489.7499,-31.1646,458.5854,-500.5384,11.4711,-489.6191,-106.927,-8.9343,-110.4666,5.8501,1.3453,5.5682,3.05
25,cd-set2--bcd-guest-4,-32.0456,-0.9454,-49.8503,495.9388,-14.3757,481.5631,-493.1739,1.9234,-491.5976,-113.8931,-8.5225,-118.2863,5.8968,1.5627,5.6113,4.541
26,cd-set2--bcd-guest-5,-30.321,-0.6581,-48.4317,491.5007,-11.174,480.3267,-489.2507,5.6233,-484.061,-117.1754,-7.7121,-119.0954,5.9643,1.5403,5.6432,4.56
27,cd-set2--bcd-guest-6,-34.7647,-0.3575,-47.4039,498.9334,2.5836,501.517,-487.4255,2.9062,-513.2384,-125.9574,-82.3533,-170.5717,5.935,1.4818,5.6726,1.267
28,cd-set2--bcd-guest-7,-29.4625,-0.6766,-43.4981,498.7877,5.941,504.7287,-495.0073,8.754,-505.7685,-115.6912,-81.3024,-173.3749,5.8433,1.8137,5.7662,3.394
29,cd-set2--bcd-guest-8,-33.5223,-0.492,-46.0,494.1058,23.2159,517.3217,-485.996,1.3785,-493.3105,-117.0155,-79.6553,-180.6782,5.8573,1.4647,5.7031,1.64
30,cd-set2--bcd-guest-9,-32.366,-1.2346,-49.1785,496.989,-9.4237,487.5653,-516.3177,25.8609,-508.8621,-104.3053,-79.5281,-156.5336,5.9405,1.5975,5.769,1.697
31,cd-set2--bcd-guest-10,-30.3812,-1.357,-47.7124,488.441,-14.0914,474.3496,-486.002,29.8356,-475.6655,-117.8558,-79.6335,-171.9067,5.9297,1.7717,5.8086,2.192
32,cd-set2--bcd-guest-11,-34.4403,-0.9422,-53.2697,507.3313,5.2243,512.5556,-530.2231,15.7075,-537.8328,-104.5699,-80.1689,-149.5302,5.9692,1.8496,5.8038,2.512
33,cd-set2--bcd-guest-12,-33.3603,-0.9205,-53.8042,494.6692,41.0163,535.6855,-479.5709,16.1447,-507.7153,-122.841,-77.2854,-150.4596,5.8061,1.8772,5.605,3.599
34,cd-set2--bcd-guest-13,-34.562,-0.0222,-47.8656,490.8115,-50.8353,439.9762,-478.9553,52.9359,-416.0062,-126.7906,-62.8281,-190.6296,5.9853,1.8795,5.8562,2.557
35,cd-set2--bcd-guest-14,-35.0116,-0.0904,-45.1223,497.2683,-22.8047,474.4637,-495.0822,8.9984,-485.9262,-121.3069,-8.8222,-123.6332,5.9335,1.2197,5.6637,1.554
36,cd-set2--bcd-guest-15,-33.7503,-0.4414,-50.954,500.9283,-13.0889,487.8395,-493.6747,1.1336,-492.8723,-122.1523,-7.1274,-124.0872,5.9483,1.5735,5.6226,4.175
37,cd-set2--bcd-guest-16,-32.2355,-0.5083,-49.5247,504.8576,-4.939,499.9186,-518.2366,-11.1169,-530.3478,-105.0833,-7.8432,-105.8767,5.8828,1.5684,5.5412,4.319
38,cd-set2--bcd-guest-17,-35.3852,1.166,-54.8286,495.8825,-10.2767,485.6057,-501.0026,3.2125,-498.1806,-111.8485,-8.3784,-115.4631,5.962,1.6348,5.6509,4.971
39,cd-set2--bcd-guest-18,-36.1953,-0.5655,-49.791,499.6088,10.098,509.7068,-492.163,5.168,-508.884,-115.7869,-81.4919,-167.3783,5.9329,1.6531,5.6799,2.28
40,cd-set2--bcd-guest-19,-33.0303,-1.0276,-49.7544,496.5678,-24.5879,471.9799,-492.907,32.278,-474.0232,-119.3115,-79.8017,-179.0789,5.8441,1.785,5.7464,1.458
41,cd-set2--bcd-guest-20,-35.5244,-1.3863,-56.5251,499.8642,-22.3874,477.4768,-507.2481,36.0319,-487.4827,-109.4381,-83.2005,-163.2484,5.9009,1.8568,5.523,2.156
42,cd-set2--bcd-guest-21,-31.7954,-1.2949,-49.5859,496.4275,1.272,497.6995,-481.0197,23.0443,-468.3901,-120.9825,-79.4072,-186.5306,5.883,1.8412,5.8182,3.518
43,gdcc-set1--temoa-guest-3,-43.09,-0.5307,-64.3731,350.4846,7.4253,357.9099,451.7958,5.2003,678.2325,-1416.4088,-84.2184,-1711.2585,8.5547,1.5732,8.193,5.476
44,gdcc-set1--temoa-guest-4,-43.4125,0.5122,-66.3479,354.9566,75.1689,430.1255,432.0802,-43.7356,615.6273,-1396.0541,-74.7678,-1687.692,8.5682,1.5984,8.2371,4.52
45,gdcc-set1--temoa-guest-5,-45.8061,-0.7693,-65.7814,353.0501,52.0012,405.0513,422.9631,-14.1518,631.0384,-1386.0778,-78.3168,-1675.5464,8.63,1.5889,8.353,5.26
46,gdcc-set1--temoa-guest-7,-43.8356,-0.1712,-65.8885,350.0332,-74.576,275.4572,426.3398,94.3197,308.5245,-1387.947,-50.8003,-1223.3913,8.6836,2.1036,8.596,5.73
47,gdcc-set1--oa-guest-3,-40.3197,-0.4562,-61.5411,-82.8056,8.0958,-74.7097,648.4615,3.3681,884.6689,-1362.9496,-82.6579,-1669.1636,8.4766,1.5335,8.2202,5.4
48,gdcc-set1--oa-guest-4,-41.4003,-0.2181,-63.0672,-87.9843,74.2125,-13.7718,691.2398,-42.9311,872.5259,-1397.5653,-75.9078,-1687.3975,8.4456,1.6492,8.3041,5.34
49,gdcc-set1--oa-guest-5,-41.2036,-0.5729,-60.9362,-84.3179,52.222,-32.0959,654.0574,-14.3696,863.8516,-1366.4294,-77.4914,-1656.7082,8.5955,1.5842,8.4963,4.73
50,gdcc-set1--oa-guest-6,-42.0642,-1.8199,-67.7373,-84.2705,14.2399,-70.0306,677.3402,3.0856,898.3322,-1391.4588,-74.7381,-1674.3703,8.5131,1.8524,8.2573,9.37
51,gdcc-set1--oa-guest-7,-37.8607,-0.7399,-56.2562,-80.3408,-75.175,-155.5157,661.8415,94.9982,536.3743,-1377.7361,-50.8933,-1206.4497,8.4752,2.1034,8.6109,4.49
52,gdcc-set1--oa-guest-8,-38.2766,-0.2457,-59.9428,-79.3921,-32.8805,-112.2727,647.3511,66.7274,478.4095,-1362.0348,-52.4593,-1175.1428,8.5704,2.0611,8.4961,3.72
53,sampl5-OAH-1,-37.9335,-0.9877,-61.6989,-79.8699,7.2396,-72.6303,671.9675,4.6991,922.8621,-1388.784,-83.3932,-1703.81,8.3657,1.5188,8.0817,5.04
54,sampl5-OAH-2,-36.7056,-0.615,-61.3059,-82.6409,52.2851,-30.3558,675.4077,-14.1758,907.4024,-1390.4029,-78.8531,-1698.8547,8.3838,1.6004,8.1761,4.25
55,sampl5-OAH-3,-40.7953,-1.6469,-67.5685,-82.4983,-74.9358,-157.4342,678.2864,95.4042,529.8172,-1388.0243,-51.1279,-1189.1988,8.3998,1.9433,8.1757,5.06
56,sampl5-OAH-4,-41.3311,-2.9703,-73.5548,-84.1659,14.3225,-69.8434,682.5314,3.4192,923.0019,-1393.0275,-75.9349,-1695.4159,8.3952,1.8464,8.0727,9.37
57,sampl5-OAH-5,-37.2694,-1.2918,-60.879,-79.7364,-33.1219,-112.8583,669.4261,65.2257,491.5438,-1381.6971,-50.6483,-1183.3259,8.3995,1.9432,8.1792,4.5
58,sampl5-OAH-6,-38.4452,-0.2699,-65.3614,-83.0905,73.7469,-9.3437,672.6034,-42.6661,884.8666,-1385.668,-76.6291,-1695.3582,8.3998,1.6596,8.191,5.33
59,sampl5-OAME-1,-47.8239,-0.5496,-72.4069,348.3278,7.5812,355.9089,385.821,5.4965,624.483,-1349.8903,-83.1606,-1649.3266,8.6559,1.5455,8.3215,5.24
60,sampl5-OAME-2,-45.2208,-0.3245,-65.2661,350.2523,52.3926,402.6449,385.2185,-15.1855,610.1913,-1350.3593,-76.6196,-1647.8109,8.6313,1.6404,8.3416,5.04
61,sampl5-OAME-6,-42.5442,0.0257,-60.1456,353.9817,74.4942,428.4759,381.48,-43.1206,569.466,-1348.6888,-76.4116,-1643.8965,8.6821,1.6193,8.3827,4.52
62,sampl6-OA-6,-38.9342,8.0511,-52.6206,65.3984,-1.3397,64.0587,535.3459,-0.2944,787.3431,-1415.4116,-80.0643,-1727.7221,8.3317,1.5421,8.0334,4.97
63,sampl6-TEMOA-1,-45.6106,-0.2002,-63.6693,109.8633,27.8526,137.716,432.2248,-20.4218,643.9577,-1350.4146,-81.0277,-1653.2565,8.7115,1.6158,8.3832,5.97
64,sampl6-CB8-5,-49.0064,3.9992,-71.1716,-2832.4453,-1.3654,-2834.4331,1726.3218,18.6307,1673.536,-176.0548,-59.4188,-158.92,6.2079,1.7821,5.6814,8.18
65,sampl6-CB8-6,-49.0064,0.7079,-73.8721,-2832.4453,-20.4242,-2852.8695,1726.3218,44.1999,1709.7378,-175.2906,-62.3957,-164.452,6.2785,1.5973,5.7765,8.34
66,sampl6-CB8-7,-49.0064,1.5257,-75.1637,-2832.4453,-15.5185,-2847.9638,1726.3218,38.7359,1696.7623,-175.1339,-60.9698,-162.0569,6.2877,1.6868,5.7789,10.0
67,sampl6-CB8-8,-49.0064,3.3647,-70.6721,-2832.4453,-22.8929,-2855.3382,1726.3218,45.406,1699.7389,-175.2083,-60.6497,-160.1198,6.2084,2.1236,5.679,13.5
68,sampl6-CB8-9,-49.0064,-0.6967,-65.736,-2832.4453,-50.255,-2888.7892,1726.3218,57.0318,1711.3958,-175.5746,-59.1104,-160.389,6.223,1.6581,5.7092,8.68
69,sampl6-CB8-10,-49.0064,-2.4011,-75.969,-2832.4453,-146.1591,-2978.6044,1726.3218,125.264,1777.406,-175.4034,-65.4112,-161.5333,6.2481,1.7718,5.6932,8.22
70,sampl6-CB8-11,-49.0064,-1.0304,-70.6514,-2832.4453,-45.4193,-2877.8646,1726.3218,157.8995,1743.1452,-175.3479,-200.3369,-224.9155,6.2942,1.6177,5.9772,7.77
71,sampl6-CB8-12,-49.0064,5.7707,-64.0496,-2832.4453,49.2525,-2783.1928,1726.3218,15.8391,1685.238,-176.2569,-59.3579,-154.3577,6.2167,3.5237,6.4166,7.05
